Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
0.1,56.62246,57.50185,54.67542,60.78167,60.21647,61.53137,60.2055,59.49936,61.77322,57.95586,68.31726,60.23692,1
0.2,56.62246,57.4789,54.63987,60.78167,60.21879,61.53137,60.2055,59.49959,61.77322,57.9562,68.31552,60.2378,1
0.3,56.60952,57.4789,54.63987,60.70977,60.21879,61.53167,60.20822,59.49959,61.77253,57.95541,68.31552,60.2378,1
0.4,56.60952,57.46091,54.63222,60.64542,60.22354,61.53167,60.20822,59.49953,61.77253,57.95541,68.31024,60.20081,1
0.5,56.60188,57.45332,54.63222,60.64542,60.22354,61.53334,60.21386,59.49953,61.7707,57.95625,68.30436,60.20081,1
0.6,56.60188,57.45332,54.62986,60.61247,60.22907,61.53334,60.21386,59.50075,61.77206,57.95625,68.30436,60.23538,1
0.7,56.59707,57.45061,54.62976,60.61247,60.22907,61.53426,60.24375,59.50075,61.77206,57.95575,68.29485,60.23538,1
0.8,56.59339,57.45061,54.62976,60.60359,60.23417,61.53426,60.24375,59.50116,61.76969,57.95614,68.29485,60.19967,1
0.9,56.59339,57.44978,54.63058,60.60216,60.23417,61.53689,60.20495,59.50116,61.76969,57.95614,68.28918,60.23407,1
1,56.59236,57.44978,54.63058,60.60216,60.23702,61.53689,60.20495,59.50024,61.76748,57.95518,68.28918,60.23407,1
1.1,56.59236,57.45255,54.63197,60.60623,60.23702,61.5394,60.18542,59.50024,61.76748,57.95518,68.28434,60.19896,1
1.2,56.59663,57.45925,54.63197,60.60623,60.24143,61.5394,60.18542,59.49207,61.76722,57.95496,68.28344,60.19896,1
1.3,56.59663,57.45925,54.63721,60.6289,60.24143,61.54231,60.18482,59.49207,61.76617,57.95496,68.28344,60.23352,1
1.4,56.6099,57.47818,54.65086,60.6289,60.24143,61.54231,60.18482,59.47224,61.76617,57.9553,68.28229,60.19908,1
1.5,56.62869,57.47818,54.65086,60.71089,60.24636,61.53016,60.18482,59.47224,61.76655,57.95429,68.28229,60.19908,1
1.6,56.62869,57.50983,54.68359,60.71089,60.24636,61.53016,60.1891,59.46706,61.76672,57.95429,68.28147,60.19843,1
1.7,56.64033,57.52153,54.68359,60.8056,60.24923,61.53623,60.1891,59.46706,61.76672,57.95412,68.28484,60.19843,1
1.8,56.64033,57.52153,54.70683,60.83726,60.24923,61.53623,60.1903,59.47224,61.76722,57.95412,68.28484,60.19896,1
1.9,56.64635,57.52497,54.70683,60.83726,60.25153,61.53695,60.1903,59.47224,61.76722,57.9558,68.28721,60.23485,1
2,56.65659,57.52497,54.7341,60.85716,60.25153,61.53695,60.18952,59.47335,61.77125,57.95563,68.28721,60.23485,1
2.1,56.65659,57.54544,54.78922,60.85716,60.25273,61.53795,60.18952,59.47335,61.77462,57.95563,68.29817,60.2005,1
2.2,56.71188,57.54544,54.78922,60.90916,60.25273,61.53795,60.18905,59.47329,61.77462,57.95463,68.30366,60.2005,1
2.3,56.71188,57.76168,55.00762,61.17391,60.25184,61.5342,60.18905,59.47329,61.77524,57.95463,68.30366,60.23632,1
2.4,56.84533,58.0777,55.00762,61.17391,60.25184,61.5342,60.18721,59.47596,61.77524,57.9558,68.30493,60.20335,1
2.5,56.84533,58.0777,55.10062,61.35476,60.24927,61.53094,60.18721,59.47596,61.77772,57.95625,68.30493,60.20335,1
2.6,56.92682,58.23076,55.1838,61.35476,60.24927,61.53094,60.1891,59.4797,61.77772,57.95625,68.31284,60.24219,1
2.7,56.98173,58.23076,55.1838,61.53053,60.24761,61.53198,60.1891,59.4797,61.77958,57.95681,68.33326,60.24219,1
2.8,56.98173,58.42474,55.24717,61.53053,60.24761,61.53198,60.18992,59.48413,61.79054,57.95681,68.33326,60.24501,1
2.9,56.99376,58.42474,55.24717,61.68666,60.24566,61.54003,60.18992,59.48413,61.79054,57.95592,68.37138,60.24501,1
3,56.99376,58.44349,55.2491,61.68666,60.24566,61.54003,60.18584,59.48035,61.84796,57.95687,68.37138,60.24048,1
3.1,56.99447,58.42623,55.2491,61.71648,60.2431,61.54064,60.18584,59.48035,61.84796,57.95687,68.41306,60.1929,1
3.2,56.99447,58.42623,55.25019,61.72116,60.2431,61.54064,60.18305,59.49113,61.90524,57.95687,68.41306,60.1929,1
3.3,56.99031,58.41011,55.25019,61.72116,60.24084,61.53837,60.18305,59.49113,61.90524,57.95536,68.46428,60.27955,1
3.4,56.99113,58.41011,55.25098,61.72261,60.24084,61.53837,60.18197,59.49679,61.99884,57.95654,68.49835,60.27955,1
3.5,56.99113,58.40052,55.24576,61.72261,60.23537,61.53837,60.18197,59.49679,62.01151,57.95654,68.49835,60.32985,1
3.6,56.98517,58.40052,55.24576,61.68141,60.23537,61.53524,60.18703,59.49679,62.01151,57.95563,68.50156,60.32985,1
3.7,56.98517,58.35307,55.23219,61.60813,60.22717,61.53524,60.18703,59.49748,62.01324,57.95457,68.50156,60.32842,1
3.8,56.97894,58.32961,55.23219,61.60813,60.22717,61.5334,60.19699,59.49748,62.01324,57.95457,68.49766,60.33058,1
3.9,56.97894,58.32961,55.21539,61.53599,60.22021,61.5334,60.19699,59.49668,62.01163,57.953,68.49766,60.33058,1
4,56.96986,58.28054,55.21539,61.53599,60.22021,61.53132,60.23864,59.49668,62.01163,57.953,68.49989,60.33307,1
4.1,56.96986,58.28054,55.1899,61.53819,60.21778,61.53132,60.23864,59.49673,62.00705,57.95508,68.4876,60.33307,1
4.2,56.9633,58.24827,55.19047,61.53819,60.21778,61.53016,60.23615,59.49673,61.9857,57.95508,68.4876,60.33086,1
4.3,56.96686,58.24827,55.19047,61.54044,60.21601,61.53016,60.23615,59.49591,61.9857,57.95496,68.47492,60.33086,1
4.4,56.96686,58.26703,55.18724,61.54044,60.21601,61.531,60.23702,59.49591,61.96561,57.95603,68.47492,60.33037,1
4.5,56.9373,58.26703,55.18724,61.51021,60.21595,61.531,60.23702,59.49621,61.96561,57.95603,68.46058,60.29074,1
4.6,56.9373,58.10967,55.00405,61.18473,60.21595,61.53034,60.20537,59.49621,61.91473,57.95563,68.46058,60.29074,1
4.7,56.7866,57.78155,55.00405,61.18473,60.21576,61.53034,60.20537,59.49615,61.89713,57.95563,68.44663,60.24048,1
4.8,56.7866,57.78155,54.831,61.05099,60.21576,61.53039,60.23668,59.49615,61.89713,57.95519,68.44657,60.24048,1
4.9,56.71725,57.72709,54.79721,61.05099,60.21624,61.53039,60.23668,59.49697,61.89589,57.95519,68.44657,60.28562,1
5,56.69315,57.72709,54.79721,60.98755,60.21624,61.53132,60.20632,59.49697,61.89589,57.95536,68.43679,60.19011,1
5.1,56.69315,57.68363,54.78273,60.98755,60.21654,61.53132,60.20632,59.49638,61.82231,57.95642,68.43679,60.19011,1
5.2,56.67698,57.64578,54.78273,60.93841,60.21654,61.53126,60.20628,59.49638,61.82231,57.95642,68.38326,60.18952,1
5.3,56.67698,57.64578,54.77072,60.93841,60.21719,61.53126,60.20628,59.4975,61.78247,57.95451,68.33721,60.18952,1
5.4,56.66679,57.62342,54.77072,60.9022,60.21719,61.53088,60.20628,59.4975,61.77691,57.95451,68.33721,60.20229,1
5.5,56.66679,57.62342,54.76453,60.89271,60.21719,61.53088,60.23786,59.49697,61.77691,57.95609,68.3302,60.20229,1
5.6,56.65871,57.60808,54.76453,60.89271,60.21683,61.53126,60.23786,59.49697,61.77581,57.95676,68.3302,60.23829,1
5.7,56.65074,57.60808,54.75887,60.87617,60.21683,61.53126,60.20679,59.49697,61.77581,57.95676,68.32228,60.23656,1
5.8,56.65074,57.55138,54.74362,60.87617,60.21677,61.53132,60.20679,59.49697,61.77494,57.95491,68.32228,60.23656,1
5.9,56.64196,57.55138,54.74362,60.84077,60.21677,61.53132,60.20649,59.4969,61.77468,57.95491,68.31859,60.23662,1
6,56.64196,57.53273,54.71651,60.81948,60.21576,61.53175,60.20649,59.4969,61.77468,57.95541,68.31719,60.23662,1
6.1,56.63936,57.52657,54.71651,60.81948,60.21576,61.53175,60.20567,59.49774,61.77332,57.95541,68.31719,60.20174,1
6.2,56.63936,57.52657,54.69835,60.80247,60.21635,61.53181,60.20567,59.49774,61.77332,57.95491,68.3147,60.23715,1
6.3,56.6366,57.52452,54.6947,60.80247,60.21635,61.53181,60.20662,59.49796,61.77203,57.95597,68.3147,60.23715,1
6.4,56.63605,57.52452,54.6947,60.79927,60.2163,61.53149,60.20662,59.49796,61.77203,57.95597,68.30448,60.20128,1
6.5,56.63605,57.52269,54.69572,60.79927,60.2163,61.53149,60.20632,59.49854,61.77154,57.95569,68.29976,60.20128,1
6.6,56.63492,57.52119,54.69572,60.80023,60.21814,61.53222,60.20632,59.49854,61.77186,57.95569,68.29976,60.20163,1
6.7,56.63492,57.52119,54.69742,60.80355,60.21814,61.53222,60.2359,59.49761,61.77186,57.95485,68.29798,60.20163,1
6.8,56.63546,57.52059,54.69742,60.80355,60.21778,61.53126,60.2359,59.49761,61.77322,57.95625,68.29798,60.23704,1
6.9,56.636,57.52059,54.69752,60.80463,60.21778,61.53126,60.20561,59.49895,61.77322,57.95625,68.29913,60.20168,1
7,56.636,57.51886,54.69901,60.80463,60.21677,61.5312,60.20561,59.49895,61.77407,57.95547,68.29913,60.20168,1
7.1,56.6354,57.51886,54.69901,60.80772,60.21677,61.5312,60.20626,59.49871,61.77445,57.95547,68.2981,60.23769,1
7.2,56.6354,57.51249,54.7004,60.80772,60.21749,61.53132,60.20626,59.49871,61.77445,57.95491,68.29893,60.23769,1
7.3,56.63497,57.51116,54.7004,60.81198,60.21749,61.53132,60.20616,59.4986,61.77377,57.95491,68.29893,60.23786,1
7.4,56.63497,57.51116,54.70035,60.81206,60.21826,61.53143,60.20616,59.4986,61.77377,57.95597,68.29854,60.23882,1
7.5,56.63291,57.5075,54.70035,60.81206,60.21826,61.53143,60.23674,59.49867,61.7734,57.95536,68.29854,60.23882,1
7.6,56.63156,57.5075,54.69881,60.80999,60.21736,61.5312,60.23674,59.49867,61.7734,57.95536,68.29951,60.20354,1
7.7,56.63156,57.50445,54.69711,60.80999,60.21736,61.5312,60.2059,59.49941,61.7718,57.95664,68.29951,60.20354,1
7.8,56.62977,57.50445,54.69711,60.80789,60.21831,61.5312,60.2059,59.49941,61.7718,57.95664,68.30046,60.23828,1
7.9,56.62977,57.5014,54.69336,60.80241,60.21831,61.53057,60.20525,59.49941,61.7718,57.95703,68.29932,60.23828,1
