Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
0.1,56.76832,57.64539,55.05017,60.57792,60.07097,61.49328,58.22352,59.41503,61.85704,57.99682,68.60117,60.4338,1
0.2,56.76859,57.64684,55.05017,60.57792,60.07199,61.49317,58.22352,59.41503,61.85704,57.9966,68.60841,60.4338,1
0.3,56.76859,57.64684,55.05163,60.58237,60.07199,61.49317,58.22974,59.41468,61.86019,57.9966,68.60841,60.43273,1
0.4,56.77126,57.65073,55.05781,60.58237,60.07174,61.49293,58.22974,59.41468,61.86019,57.99767,68.6115,60.43345,1
0.5,56.77583,57.65073,55.05781,60.598,60.07174,61.49293,58.23409,59.41445,61.85975,57.99677,68.6115,60.43345,1
0.6,56.77583,57.65736,55.06648,60.62453,60.0711,61.49305,58.23409,59.41445,61.85975,57.99677,68.60893,60.43292,1
0.7,56.78056,57.66275,55.06648,60.62453,60.0711,61.49305,58.22867,59.41445,61.86045,57.99733,68.60616,60.43292,1
0.8,56.78056,57.66275,55.071,60.64283,60.07146,61.49305,58.22867,59.41445,61.86025,57.99733,68.60616,60.43255,1
0.9,56.78529,57.66726,55.07521,60.64283,60.07146,61.49354,58.23171,59.41445,61.86025,57.99727,68.60327,60.43255,1
1,56.79209,57.66726,55.07521,60.66518,60.07204,61.49354,58.23171,59.41416,61.85839,57.99738,68.60327,60.43225,1
1.1,56.79209,57.6784,55.08404,60.66518,60.07204,61.49336,58.24753,59.41416,61.85839,57.99738,68.60411,60.43273,1
1.2,56.80629,57.6784,55.08404,60.71703,60.07252,61.49336,58.24753,59.41357,61.86063,57.99744,68.60411,60.43273,1
1.3,56.80629,57.69957,55.09512,60.80772,60.07252,61.48809,58.23861,59.41357,61.86063,57.99744,68.60706,60.43273,1
1.4,56.82153,57.72013,55.09512,60.80772,60.0695,61.48809,58.23861,59.41433,61.86051,57.99704,68.60322,60.43273,1
1.5,56.83057,57.72013,55.10489,60.8489,60.0695,61.48754,58.24199,59.41433,61.85938,57.99704,68.60322,60.43236,1
1.6,56.83057,57.72581,55.1116,60.8489,60.06973,61.48754,58.24199,59.41345,61.85938,57.99688,68.58235,60.43236,1
1.7,56.84435,57.72581,55.1116,60.87429,60.06973,61.48797,58.23951,59.41345,61.84127,57.99699,68.58235,60.43249,1
1.8,56.84435,57.74338,55.11856,60.87429,60.06979,61.48797,58.23951,59.41345,61.84127,57.99699,68.49348,60.43225,1
1.9,56.84718,57.74338,55.11856,60.94404,60.06979,61.49109,58.21545,59.41345,61.7922,57.99659,68.49348,60.43225,1
2,56.84718,57.77474,55.11217,60.98658,60.06909,61.49109,58.21545,59.41457,61.77567,57.99659,68.44771,60.43268,1
2.1,56.8492,57.79439,55.11217,60.98658,60.06909,61.49227,58.1764,59.41457,61.77567,57.99615,68.43006,60.43268,1
2.2,56.8492,57.79439,55.10676,61.0397,60.07045,61.49227,58.1764,59.41521,61.77203,57.99615,68.43006,60.43303,1
2.3,56.87362,57.91639,55.10936,61.0397,60.07045,61.49317,58.18142,59.41521,61.77203,57.99767,68.40864,60.43303,1
2.4,56.948,57.91639,55.10936,61.14141,60.07049,61.49317,58.18142,59.41677,61.76986,57.99659,68.40864,60.43303,1
2.5,56.948,57.9764,55.1091,61.17122,60.07049,61.49262,58.17972,59.41677,61.76986,57.99659,68.39241,60.4329,1
2.6,56.9556,57.97342,55.1091,61.17122,60.07134,61.49262,58.17972,59.41497,61.76913,57.99801,68.39055,60.4329,1
2.7,56.9556,57.97342,55.10811,61.17846,60.07134,61.49281,58.13659,59.41497,61.76777,57.99801,68.39055,60.43194,1
2.8,56.95587,57.97067,55.10905,61.17846,60.07038,61.49281,58.13659,59.41718,61.76777,57.9975,68.39074,60.43194,1
2.9,56.95368,57.97067,55.10905,61.17887,60.07038,61.49325,58.13659,59.41718,61.7666,57.99789,68.39074,60.43124,1
3,56.95368,57.96854,55.10978,61.17887,60.07038,61.49325,58.08332,59.41811,61.7666,57.99789,68.3871,60.43196,1
3.1,56.94883,57.96736,55.10978,61.17688,60.07079,61.4934,58.08332,59.41811,61.76672,57.99811,68.3871,60.43196,1
3.2,56.94883,57.96736,55.10926,61.17517,60.07079,61.4934,58.10769,59.41672,61.76672,57.99811,68.38372,60.4329,1
3.3,56.948,57.96792,55.10926,61.17517,60.06991,61.4925,58.10769,59.41672,61.76562,57.99823,68.38543,60.4329,1
3.4,56.948,57.96792,55.10941,61.17675,60.06991,61.4925,58.19823,59.41304,61.76562,57.99823,68.38543,60.43374,1
3.5,56.94817,57.96814,55.10894,61.17675,60.07004,61.49187,58.19823,59.41304,61.76562,57.99615,68.38748,60.43374,1
3.6,56.94833,57.96814,55.10894,61.17523,60.07004,61.49187,58.22081,59.41322,61.76635,57.99615,68.38748,60.43345,1
3.7,56.94833,57.96921,55.10775,61.17554,60.07004,61.4914,58.22081,59.41322,61.76635,57.99783,68.38934,60.43284,1
3.8,56.95134,57.97146,55.10775,61.17554,60.07004,61.4914,58.19597,59.4159,61.76789,57.99682,68.38934,60.43284,1
3.9,56.95134,57.97146,55.10723,61.17087,60.06991,61.48907,58.19597,59.4159,61.76789,57.99682,68.39131,60.4323,1
4,56.9474,57.9645,55.10972,61.17087,60.06991,61.48907,58.19394,59.41537,61.76736,57.99772,68.39023,60.4323,1
4.1,56.92638,57.9645,55.10972,61.10384,60.06862,61.48728,58.19394,59.41537,61.76704,57.99772,68.39023,60.43261,1
4.2,56.92638,57.90402,55.08867,61.10384,60.06862,61.48728,58.22775,59.41265,61.76704,57.99784,68.3894,60.43261,1
4.3,56.80597,57.68987,55.08867,60.84919,60.06778,61.48656,58.22775,59.41265,61.76655,57.99784,68.3894,60.43236,1
4.4,56.80597,57.68987,54.99041,60.56091,60.06778,61.48656,58.26697,59.41043,61.76655,57.99845,68.39669,60.43194,1
4.5,56.74001,57.57458,54.99041,60.56091,60.06803,61.48616,58.26697,59.41043,61.76994,57.99722,68.39669,60.43194,1
4.6,56.72903,57.57458,54.92257,60.53019,60.06803,61.48616,58.26873,59.41101,61.76994,57.99722,68.40346,60.43219,1
4.7,56.72903,57.56253,54.92086,60.53019,60.06689,61.48526,58.26873,59.41101,61.77227,57.99621,68.40346,60.43219,1
4.8,56.72952,57.56253,54.92086,60.52797,60.06689,61.48526,58.27286,59.41101,61.77338,57.99621,68.41138,60.43273,1
4.9,56.72952,57.56165,54.92122,60.52653,60.06695,61.48526,58.27286,59.41038,61.77338,57.99637,68.41477,60.43273,1
5,56.72936,57.56397,54.92122,60.52653,60.06695,61.4854,58.27133,59.41038,61.77247,57.99637,68.41477,60.43278,1
5.1,56.72936,57.56397,54.92283,60.52906,60.06613,61.4854,58.27133,59.4109,61.77247,57.99671,68.41682,60.43296,1
5.2,56.73023,57.56631,54.92474,60.52906,60.06613,61.4854,58.26957,59.4109,61.77273,57.99761,68.41682,60.43296,1
0.1,56.75566,57.6425,54.97077,60.55318,60.07081,61.49305,58.30029,59.41101,61.76655,57.99733,68.40328,60.43255,2
0.2,56.75772,57.6425,54.97077,60.55541,60.06986,61.49305,58.30029,59.41282,61.7668,57.9962,68.40328,60.43255,2
0.3,56.75772,57.64306,54.97667,60.55541,60.06986,61.4925,58.2983,59.41282,61.76803,57.9962,68.40711,60.43194,2
0.4,56.75745,57.64389,54.97667,60.55809,60.07075,61.4925,58.2983,59.41265,61.76803,57.9966,68.40851,60.43194,2
0.5,56.75745,57.64389,54.98476,60.56097,60.07075,61.49325,58.29684,59.41265,61.76803,57.9966,68.40851,60.43118,2
0.6,56.76055,57.64701,54.98476,60.56097,60.07128,61.49325,58.29684,59.41369,61.76803,57.99739,68.41138,60.43118,2
0.7,56.76511,57.64701,54.99627,60.56497,60.07128,61.49269,58.29508,59.41369,61.76789,57.99772,68.41138,60.43022,2
0.8,56.76511,57.6568,55.03179,60.56497,60.07062,61.49269,58.29508,59.41265,61.76789,57.99772,68.4126,60.43076,2
0.9,56.77398,57.6568,55.03179,60.585,60.07062,61.49322,58.29537,59.41265,61.76826,57.99705,68.41567,60.43076,2
1,56.77398,57.66192,55.04893,60.585,60.07027,61.49322,58.29537,59.41224,61.77018,57.99705,68.41567,60.43076,2
1.1,56.7742,57.65752,55.04893,60.59201,60.07027,61.49268,58.29464,59.41224,61.77018,57.99806,68.4213,60.43076,2
1.2,56.7742,57.65752,55.05106,60.59088,60.07027,61.49268,58.29464,59.41311,61.77117,57.99767,68.4213,60.43124,2
1.3,56.77219,57.65362,55.05106,60.59088,60.06956,61.49299,58.29464,59.41311,61.77117,57.99767,68.4282,60.43244,2
1.4,56.77354,57.65362,55.05199,60.59351,60.06956,61.49299,58.29372,59.41311,61.7736,57.9971,68.4282,60.43244,2
