Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
0.1,56.65047,57.87591,55.18833,60.60675,60.05046,61.4803,58.2059,59.31421,61.76773,58.03097,68.254,60.43601,1
0.2,56.65047,57.88588,55.19276,60.60675,60.05067,61.4803,58.2059,59.31438,61.7668,58.03103,68.25043,60.43601,1
0.3,56.64987,57.88588,55.19276,60.62061,60.05067,61.47958,58.20445,59.31438,61.76759,58.03103,68.25043,60.43525,1
0.4,56.64987,57.88588,55.19016,60.60456,60.05003,61.47958,58.20445,59.31479,61.76759,58.03052,68.25094,60.43525,1
0.5,56.6477,57.8819,55.19016,60.60456,60.05003,61.48166,58.20545,59.31479,61.76765,58.03081,68.25094,60.43536,1
0.6,56.64808,57.8819,55.18781,60.59982,60.04968,61.48166,58.20545,59.31479,61.76765,58.03081,68.2505,60.43483,1
0.7,56.64808,57.88262,55.18906,60.59982,60.04968,61.48189,58.20274,59.31479,61.76704,58.03114,68.2505,60.43483,1
0.8,56.65101,57.88262,55.18906,60.60742,60.05014,61.48189,58.20274,59.31467,61.76704,58.03114,68.25278,60.43548,1
0.9,56.65101,57.89102,55.19433,60.62789,60.05014,61.48313,58.20348,59.31467,61.76716,58.03153,68.2505,60.43548,1
1,56.65399,57.89455,55.19433,60.62789,60.05288,61.48313,58.20348,59.31653,61.76876,58.03153,68.2505,60.43651,1
1.1,56.65399,57.89455,55.19595,60.62044,60.05288,61.48318,58.20512,59.31653,61.76876,58.03131,68.25751,60.43678,1
1.2,56.65058,57.88822,55.18849,60.62044,60.05406,61.48318,58.20512,59.31757,61.77105,58.03098,68.25751,60.43678,1
1.3,56.64483,57.88822,55.18849,60.59748,60.05406,61.48405,58.20642,59.31757,61.77105,58.03098,68.25999,60.43643,1
1.4,56.64483,57.87737,55.18406,60.59748,60.05519,61.48405,58.20642,59.31729,61.76771,58.03305,68.274,60.43643,1
1.5,56.64001,57.87026,55.18406,60.58194,60.05519,61.48471,58.20709,59.31729,61.77506,58.03305,68.274,60.4381,1
1.6,56.64001,57.87026,55.18036,60.56696,60.05589,61.48471,58.20709,59.31839,61.77506,58.03311,68.35714,60.4381,1
1.7,56.63698,57.86964,55.18036,60.56696,60.05589,61.48393,58.20613,59.31839,61.77964,58.03311,68.35714,60.43763,1
1.8,56.63947,57.86964,55.18245,60.57782,60.05718,61.48393,58.20613,59.32071,61.77964,58.03221,68.36838,60.43698,1
1.9,56.63947,57.87719,55.19016,60.57782,60.05718,61.4887,58.208,59.32071,61.78136,58.03086,68.36838,60.43698,1
2,56.64819,57.87719,55.19016,60.60527,60.05951,61.4887,58.208,59.31503,61.78136,58.03086,68.37337,60.43745,1
