Time (sec),Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Trial
0.1,56.75463,57.05983,53.6765,60.98434,60.33212,61.50095,60.52733,59.60246,61.43531,57.89897,68.3242,60.33813,1
0.2,56.75463,57.05928,53.67774,60.98434,60.33212,61.50095,60.52881,59.60246,61.43503,57.89964,68.32561,60.33813,1
0.3,56.75517,57.05928,53.67774,60.98187,60.33234,61.50174,60.52881,59.60246,61.43558,57.89964,68.32561,60.33838,1
0.4,56.75517,57.06104,53.67816,60.97887,60.33234,61.50174,60.5299,59.60305,61.43558,57.89953,68.32618,60.33838,1
0.5,56.75207,57.01942,53.67816,60.97887,60.33193,61.50409,60.5299,59.60305,61.51059,57.89953,68.32618,60.33866,1
0.6,56.70878,57.01942,53.61672,60.79686,60.33193,61.50409,60.53433,59.60597,61.51059,57.89976,68.32751,60.33885,1
0.7,56.70878,56.94134,53.61672,60.79686,60.33485,61.43724,60.53433,59.60597,61.43811,57.90155,68.32751,60.33885,1
0.8,56.69928,56.94134,53.60344,60.75247,60.33485,61.43724,60.53864,59.6079,61.43811,57.90155,68.33103,60.33944,1
0.9,56.69928,56.93064,53.60269,60.75247,60.33557,61.48114,60.53864,59.6079,61.44044,57.90497,68.33838,60.33944,1
1,56.69988,56.93064,53.60269,60.75159,60.33557,61.48114,60.52833,59.60768,61.51628,57.90497,68.33838,60.34146,1
1.1,56.69988,56.92905,53.60284,60.75074,60.33552,61.48114,60.52833,59.60768,61.51628,57.90833,68.34966,60.34177,1
1.2,56.70037,56.9302,53.60284,60.75074,60.33552,61.41504,60.52534,59.60785,61.51818,57.9109,68.34966,60.34177,1
1.3,56.70151,56.9302,53.60324,60.74982,60.33586,61.41504,60.52534,59.60785,61.51818,57.9109,68.35714,60.3416,1
1.4,56.70151,56.93058,53.60359,60.74982,60.33586,61.41472,60.52486,59.60785,61.44712,57.91276,68.36461,60.3416,1
1.5,56.702,56.93058,53.60359,60.75403,60.33576,61.41472,60.52486,59.60766,61.44839,57.91276,68.36461,60.34278,1
1.6,56.702,56.9308,53.60359,60.75446,60.33576,61.47062,60.52534,59.60766,61.44839,57.91314,68.36972,60.34278,1
1.7,56.70162,56.93102,53.60359,60.75446,60.33641,61.47062,60.52534,59.60802,61.44906,57.91433,68.36972,60.34213,1
1.8,56.70162,56.93102,53.60384,60.7535,60.33641,61.41337,60.52461,59.60802,61.44906,57.91433,68.38339,60.34314,1
1.9,56.70238,56.93151,53.60414,60.7535,60.33717,61.41337,60.52461,59.60814,61.45078,57.91405,68.48804,60.34314,1
